timestamp_ms,emg_quad,ecg_isquio,angulo_relativo
15598,0,1309,11.43
15598,0,2336,11.42
15598,0,1840,11.42
15599,0,1310,11.42
15599,0,2320,11.42
15642,0,1872,11.42
15643,0,1238,11.42
15643,0,2250,11.42
15643,0,1968,11.41
15682,0,1179,11.4
15682,0,2187,11.4
15682,0,2021,11.4
15720,0,1185,11.4
15721,0,2177,11.39
15721,0,2112,11.4
15722,0,1290,11.39
15768,0,2142,11.39
15768,0,2207,11.39
15768,0,1339,11.38
15769,0,2129,11.38
15813,0,2256,11.38
15814,0,1281,11.38
15814,0,2018,11.37
15814,0,2349,11.37
15977,0,1222,11.37
15979,0,1917,11.38
15980,0,2240,11.38
15981,0,1229,11.37
15981,0,1757,11.37
15983,0,2286,11.36
15983,0,1280,11.36
15984,0,1770,11.36
15985,0,2321,11.35
15985,0,1333,11.35
15986,0,1728,11.35
15987,0,2417,11.35
15987,0,1457,11.35
15988,0,1775,11.35
15988,0,2503,11.35
16064,0,1486,11.35
16065,0,1651,11.35
16067,0,2426,11.35
16067,0,1463,11.35
16067,0,1525,11.35
16069,0,2403,11.35
16069,0,1567,11.35
16070,0,1379,11.35
16132,0,2363,11.35
16134,0,1584,11.35
16136,0,1360,11.35
16138,0,2363,11.35
16139,0,1666,11.35
16139,0,1315,11.35
16221,0,2302,11.36
16222,0,1662,11.36
16223,0,1278,11.36
16223,0,2289,11.36
16224,0,1792,11.36
16224,0,1246,11.37
16225,0,2235,11.37
16226,0,1799,11.38
16300,0,1195,11.38
16303,0,2179,11.37
16304,0,1856,11.36
16305,0,1129,11.36
16306,0,2091,11.35
16307,0,1889,11.34
16308,0,1087,11.34
16391,0,2060,11.34
16391,0,1941,11.34
16392,0,1092,11.34
16393,0,1992,11.33
16394,0,2081,11.33
16395,0,1195,11.33
16397,0,1996,11.33
16398,0,2118,11.33
16467,0,1118,11.33
16467,0,1875,11.32
16468,0,2135,11.32
16468,0,1109,11.32
16468,0,1601,11.32
16469,0,1930,11.31
16534,0,971,11.31
